EL131,15,161 St‐Yankee Stadium 4BD,86.20%,89.90%,86.41%,96.99%,44,42,2,1
EL128,1,Simpson St 25,86.82%,89.22%,86.87%,86.32%,35,27,8,2
EL133,15,161 St‐Yankee Stadium 4,89.65%,91.08%,89.93%,90.98%,24,20,4,2
EL194,10,233 St 25,89.75%,90.63%,90.82%,98.83%,9,5,4,1
EL129,20,3 Av‐149 St 25,92.85%,94.83%,94.26%,97.82%,31,23,8,3
EL132,15,161 St‐Yankee Stadium 4,93.15%,94.11%,93.15%,98.05%,16,13,3,2
EL136,10,Pelham Pkwy 25,94.76%,98.18%,95.16%,96.89%,27,24,3,3
EL195,3,Hunts Point Av 6,95.50%,96.99%,95.87%,96.88%,23,19,4,1
EL130,20,3 Av‐149 St 25,96.25%,98.14%,95.11%,91.58%,13,9,4,1
EL183,10,Gun Hill Rd 25,96.62%,98.61%,96.15%,98.62%,11,8,3,2
EL192,10,233 St 25,96.69%,98.91%,97.98%,94.46%,12,8,4,0
EL189,3,Kingsbridge Rd BD,96.98%,100.00%,97.53%,92.15%,15,11,4,1
EL187,12,Fordham Rd 4,97.06%,98.91%,96.75%,98.35%,9,7,2,1
EL137,10,Pelham Pkwy 25,97.18%,99.60%,96.93%,99.22%,16,12,4,0
EL185,11,231 St 1,97.19%,97.06%,96.07%,99.20%,9,6,3,0
EL188,12,Fordham Rd 4,97.53%,100.00%,95.67%,94.25%,8,5,3,4
EL193,10,233 St 25,97.82%,98.69%,97.80%,98.33%,10,7,3,0
EL138,10,Pelham Pkwy 25,97.87%,99.18%,98.11%,96.46%,14,9,5,2
EL134,15,161 St‐Yankee Stadium BD,98.03%,98.35%,97.83%,90.58%,3,,3,0
EL121,1,Pelham Bay Park 6,98.15%,99.59%,97.76%,98.36%,8,4,4,0
EL127,1,Simpson St 25,98.18%,100.00%,98.86%,93.75%,14,9,5,0
EL196,3,Hunts Point Av 6,98.29%,97.52%,99.32%,98.43%,10,7,3,0
EL182,10,Gun Hill Rd 25,98.60%,97.83%,100.00%,98.00%,5,3,2,1
EL197,3,Hunts Point Av 6,98.88%,98.91%,99.15%,98.32%,7,5,2,1
EL160,5,180 St 25,98.95%,100.00%,99.75%,98.84%,7,4,3,0
EL190,3,Kingsbridge Rd BD,98.99%,99.86%,100.00%,97.39%,8,2,6,0
EL184,11,231 St 1,99.06%,99.69%,98.46%,98.65%,7,5,2,1
EL191,3,Kingsbridge Rd BD,99.06%,99.74%,100.00%,98.07%,8,3,5,0
EL122,1,Pelham Bay Park 6,99.07%,100.00%,100.00%,99.26%,5,,5,0
EL159,5,180 St 25,99.12%,100.00%,100.00%,99.25%,8,5,3,0
EL186,12,Fordham Rd 4,99.13%,98.89%,98.91%,97.58%,4,2,2,0
EL135,15,161 St‐Yankee Stadium BD,99.16%,99.41%,100.00%,86.72%,5,2,3,1
EL442,1,Lexington Av‐63 St FQ,69.37%,72.13%,67.46%,100.00%,25,20,5,3
EL116,12,190 St A,74.67%,75.64%,75.58%,84.60%,8,4,4,1
EL111,20,168 St 1,76.78%,80.48%,78.75%,90.32%,51,42,9,0
EL110,18,181 St 1,79.02%,80.37%,78.63%,95.61%,10,7,3,0
EL113,19,168 St 1,81.97%,81.83%,82.05%,90.41%,41,35,6,0
EL120,32,190 St A,83.63%,83.45%,83.57%,84.22%,22,19,3,5
EL145,7,96 St 231,83.94%,88.73%,81.40%,91.90%,29,27,2,0
EL244,16,Grand Central‐42 St 7,85.88%,89.36%,88.26%,95.51%,64,23,41,1
EL230,14,Times Sq‐42 St NQRW,87.97%,88.59%,88.84%,91.83%,12,8,4,1
EL119,32,181 St A,88.26%,90.38%,87.74%,72.48%,35,32,3,2
EL105,15,191 St 1,88.43%,91.24%,87.14%,93.89%,22,16,6,0
EL109,18,181 St 1,88.50%,88.21%,89.95%,92.74%,9,6,3,0
EL222,15,14 St ACE,88.75%,88.42%,91.35%,99.23%,31,26,5,2
EL248,1,96 St Q,89.08%,88.83%,90.73%,N/A,16,5,11,1
EL142,12,125 St ABCD,89.45%,91.10%,89.12%,92.14%,16,13,3,1
EL331,5,Bleecker St DFBM6,89.56%,90.60%,89.45%,96.85%,20,16,4,1
EL104,14,191 St 1,89.85%,94.57%,86.42%,94.13%,35,31,4,1
EL402,28,Lexington Av‐63 St FQ,90.20%,87.89%,92.01%,94.28%,24,16,8,3
EL108,18,181 St 1,91.67%,94.08%,89.48%,91.98%,39,36,3,3
EL218,17,14 St‐Union Sq L,92.66%,94.59%,95.08%,98.71%,21,19,2,2
EL125,1,125 St 456,93.47%,92.01%,94.48%,96.00%,30,25,5,3
EL267,1,72 St Q,93.53%,93.74%,92.89%,N/A,11,6,5,0
EL146,7,96 St 231,93.54%,96.20%,92.29%,95.02%,36,31,5,2
EL336,8,Chambers St 123,93.69%,93.74%,92.34%,84.36%,40,36,4,1
EL247,1,96 St Q,94.27%,92.89%,96.84%,N/A,27,13,14,0
EL232,11,Times Sq‐42 St 1237,94.50%,96.73%,93.75%,89.25%,16,13,3,5
EL444,1,Lexington Av‐63 St FQ,94.50%,97.58%,94.82%,100.00%,19,11,8,0
EL315,0,Brooklyn Bridge 456,94.53%,95.35%,94.57%,N/A,7,2,5,1
EL106,15,191 St 1,94.66%,97.27%,96.10%,96.48%,26,22,4,1
EL443,1,Lexington Av‐63 St FQ,94.69%,98.10%,95.38%,100.00%,33,22,11,8
EL204,27,Grand Central‐42 St 4567S,95.04%,96.68%,94.15%,98.60%,22,16,6,4
EL440,1,Lexington Av‐63 St FQ,95.12%,96.65%,96.22%,100.00%,28,19,9,2
EL118,13,181 St A,95.13%,94.95%,94.69%,95.04%,25,20,5,0
EL710,10,Bowling Green 45,95.29%,97.27%,95.66%,93.21%,39,33,6,0
EL333,12,West 4 St ABCDEFM,95.36%,96.74%,94.50%,96.73%,26,22,4,0
EL206,27,Grand Central‐42 St 456,95.53%,98.75%,97.03%,97.72%,22,10,12,1
EL103,14,191 St 1,95.58%,99.30%,96.61%,96.02%,25,19,6,0
EL277,8,59 St‐Columbus Circle ABCD1,95.64%,98.32%,96.03%,97.24%,22,16,6,1
EL245,12,Lexington Av‐53 St EM,95.67%,96.18%,95.13%,89.20%,17,12,5,1
EL335,12,West 4 St ABCDEFM,96.20%,96.06%,96.98%,97.92%,14,11,3,2
EL201,0,51 St 6,96.42%,97.81%,96.87%,95.97%,14,11,3,1
EL716,3,Fulton St ACJZ2345,96.44%,96.90%,98.70%,98.49%,27,22,5,0
EL139,10,168 St 1AC,96.49%,98.98%,95.70%,97.92%,19,16,3,3
EL213,2,34 St‐Herald Sq BDFMNQRW,96.51%,99.23%,97.71%,97.60%,18,12,6,3
EL224,15,8 Av L,96.55%,97.74%,96.89%,95.41%,20,16,4,3
EL229,14,Times Sq‐42 St NQRW,96.72%,97.95%,96.74%,91.84%,8,4,4,0
EL332,5,Bleecker St DFBM6,96.77%,97.83%,97.10%,98.90%,8,5,3,1
